,backbone,mono_subs,di_subs
58,[H]c1c([H])c([H])c2c(c1[H])*c1c([H])c(C([H])([H])[H])c([H])c3c1*2c1c([H])c([H])c([H])c([H])c1*3,[4*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],[17*]C(=O)OC([H])([H])C([17*])([H])[H]
59,*c1*c([H])c([H])c1[H],[13*]c1c([H])c([H])c([H])c([H])c1F,[12*]C(=O)C([H])([H])C([H])([H])C([12*])=O
60,*C(*)(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[35*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[9*]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([9*])([H])[H]
61,*C1([H])*C2(C([H])([H])[H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])(C([H])([H])[H])C2([H])[H],[26*]c1c([H])c([H])c([H])c([H])c1[H],[11*]C(=O)OC([H])([H])C([11*])([H])[H]
62,*C([H])(C([H])(*S(*)(=O)=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[30*]c1c([H])c([H])c([H])c([H])c1[H],[6*]c1c([H])c([H])c([H])c([H])c1Sc1c([6*])c([H])c([H])c([H])c1[H]
63,[H]c1c([H])c([H])c(C2([H])*C([H])(C(=O)OC([H])([H])[H])C([H])(*3*c4c([H])c([H])c([H])c5c([H])c([H])c([H])c(c45)*3)C2([H])C(=O)OC([H])([H])[H])c([H])c1[H],[5*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[18*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[18*]
64,*-c1c([H])c([H])c2c(c1[H])*c1c([H])c(-*)c([H])c([H])c1-2,[11*]c1c([H])c([H])c([H])c([H])c1C(F)(F)F,[22*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[22*])(C([H])([H])[H])C([H])([H])[H]
65,*c1c([H])c(*)c([H])c(*)c1[H],[8*]c1c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[6*]Oc1c([H])c([H])c([H])c([H])c1O[6*]
66,*C([H])(C([H])([H])[H])C1(c2c([H])c([H])c([H])c([H])c2[H])*S(=O)(=O)Oc2c([H])c([H])c([H])c([H])c21,[9*][H],[11*]OC([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])(O[11*])c1c([H])c([H])c([H])c([H])c1[H]
67,*-c1c([H])c([H])c(-c2c([H])c3c4c(c2[H])-*2c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c25)*4c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c2*-3c2c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c24)c([H])c1[H],[5*]C([H])([H])[H],[9*]C1=C(c2c([H])c([H])c([H])c([H])c2[H])N([13*])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O1
68,[H]c1c([H])c([H])c2c(c1[H])**C(=S)*2,[7*]c1c([H])c([H])c([H])c([H])c1C([H])([H])[H],[11*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([11*])([H])C([H])([H])C([H])([H])C1([H])[H]
69,*C1(c2c([H])c([H])c([H])c([H])c2[H])*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],[21*]c1c([H])c([H])c([H])c([H])c1[H],[6*]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([6*])([H])[H]
70,*C1([H])C([H])([H])*C([H])([H])C1(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],[6*][H],[34*]C([H])([H])C([H])([H])C([H])([H])C([34*])([H])[H]
71,*C1(c2c([H])c([H])c([H])c([H])c2[H])*c2c([H])c([H])c([H])c([H])c2C1(C([H])([H])[H])C([H])([H])C([H])=C([H])[H],[31*]C([H])([H])[H],[19*]Oc1c([H])c([H])c([H])c([H])c1O[19*]
72,**1C(=*)C(=*)c2c([H])c([H])c([H])c([H])c21,[26*][H],[7*]c1c([H])c([H])c([H])c([H])c1Sc1c([7*])c([H])c([H])c([H])c1[H]
