,backbone,mono_subs,di_subs
370,*c1c([H])c([H])c([H])c([H])c1C(*)([H])C([H])([H])[H],[27*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
371,[H]c1c2c3c(c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])*c1c(C([H])([H])[H])c([H])c4c([H])c([H])c5c([H])c([H])c([H])c([H])c5c4c1*3c1c(c([H])c([H])c3c([H])c([H])c([H])c([H])c13)*2,[2*]OC([H])([H])[H],
372,*c1*c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1[H],[9*]c1c([H])c([H])c([H])c([H])c1[H],
373,*C([H])(C1([H])*C([H])=C(C(=O)OC([H])([H])[H])C([H])=C1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[9*][Si](c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],
374,*C1([H])C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])([H])*2C(=O)c3c([H])c([H])c([H])c([H])c3C21C([H])([H])[H],[6*]c1c([H])c([H])c([H])c([H])c1[H],
375,*-c1c([H])c2c3c4*(c5c([H])c([H])c([H])c([H])c5c14)-c1c([H])c([H])c([H])c([H])c1*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c1*-2c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c13,[8*]C(=O)C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],
376,[H]c1c([H])c2c3c(c1[H])-*1c4c([H])c([H])c([H])c([H])c4c4c([H])c5*c6c([H])c([H])c([H])c([H])c6c5c(c14)*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c1*-2c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c13,[19*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
377,*c1c([H])c(*)c([H])c([H])c1[H],[20*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
378,*c1c([H])c([H])c(*)c(C(*)([H])[H])c1[H],[17*]S(=O)(=O)C([H])([H])[H],
379,*c1c([H])*c2c([H])c(F)c([H])c([H])c12,[15*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],
380,*C1([H])O*c2c([H])c([H])c(F)c([H])c21,[20*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],
381,*c1c(C([H])([H])[H])c([H])c2*c(-c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])*c2c1C([H])([H])[H],[7*]c1c([H])c([H])c([H])c([H])c1C12C([H])([H])C3([H])C([H])([H])C([H])(C([H])([H])C([H])(C3([H])[H])C1([H])[H])C2([H])[H],
382,*c1c([H])c2c3c(c1[H])-*1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c14)*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c1*-2c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c13,[13*]C(=O)C(F)(F)F,
383,*C(C1([H])*c2c([H])c([H])c([H])c([H])c2*1)=P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],[23*]C([H])([H])[H],
384,[H]C([H])([H])C(C1=****1)(C([H])([H])[H])C([H])([H])[H],[8*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
385,[H]c1c(-c2c([H])c([H])c3c(=O)c4c([H])c([H])c([H])c([H])c4oc3c2[H])c([H])c2c3c1-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,[19*][H],
386,*C([H])=C(*)C([H])([H])C(=C([H])[Si](c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H])[Si](c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],[19*]O[H],
387,*c1c(Cl)c([H])c([H])c2c([H])c([H])c(C([H])([H])[H])*c12,[9*]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],
388,*=C1**C([H])([H])C([Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=P1(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[4*][H],
389,*C1([H])C(*)([H])C2([H])C([H])([H])C([H])([H])C1([H])C2([H])[H],[2*]C(=O)c1c([H])c([H])c(Br)c([H])c1[H],
390,*c1c([H])c2c3c(c1[H])*1c4c([H])c([H])c([H])c([H])c4-c4c([H])c([H])c([H])c([H])c4-c4c([H])c([H])c([H])c(c41)*3c1c([H])c(C([H])([H])[H])c([H])c([H])c1*2,[18*]C([H])([H])[H],
391,*C1([H])*C2([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])[H],,
392,*C([H])=C(*)C([H])([H])[H],,
393,[H]C1=C(C([H])([H])[H])*c2c([H])c([H])c([H])c([H])c2*1,,
394,*C([H])=C(*)[H],,
395,*c1c([H])c([H])c([H])c2c(OC([H])([H])[H])c([H])c(C([H])([H])[H])*c12,,
396,*c1c([H])c([H])c([H])c([H])c1C(*)([H])[H],,
397,[H]c1c([H])c(C2=C(c3c([H])c([H])c(Br)c([H])c3[H])*C([H])([H])*2)c([H])c([H])c1Br,,
398,*c1c([H])c([H])c([H])c(-c2c([H])c3c4c(c2[H])-*2c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c25)*4c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c2*-3c2c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c24)c1[H],,
399,[H]c1c([H])c([H])c2c(c1[H])*c1c-2*c2c([H])c([H])c([H])c([H])c12,,
400,*c1c([H])*:*c1[Si](O[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],,
401,*C([H])=C1*C(C([H])([H])[H])=C(C([H])([H])[H])*1,,
402,*c1c([H])c2c3c(c1[H])*c1c([H])c([H])c(-c4c([H])c([H])c([H])c([H])c4[H])c([H])c1*3c1c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c1*2,,
403,*c1c([H])c([H])c([H])c2*c([H])c(SC([H])(F)F)c12,,
404,*c1c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c2c1*c1c([H])c([H])c([H])c([H])c12,,
405,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c([H])c([H])c1C21c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c(-c3c([H])c4c5c(c3[H])-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c21,,
406,*C1([H])C2([H])*3:*(c(=O)*c3=O)C([H])(c3c(OC([H])([H])[H])c4c(c(OC([H])([H])[H])c32)C(=O)c2c([H])c([H])c([H])c([H])c2C4=O)C1([H])[H],,
407,**1*C(*)([H])c2c([H])c([H])c([H])c([H])c21,,
408,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(P(C2=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])*C([H])([H])*2)c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c1C([H])([H])[H],,
409,[H]c1c([H])c2c3c(c1[H])-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,,
410,*c1c(*)c(OC(F)(F)F)c([H])c([H])c1[H],,
411,*C1([H])**C1(C([H])([H])[H])C([H])([H])[H],,
412,*c1c([H])*c(Cl)c([H])c1[H],,
413,*c1c(OC([H])([H])[H])*:*c(-c2c([H])*c(F)c([H])c2[H])c1[H],,
414,*C1([H])c2c([H])c([H])c([H])c([H])c2*C1([H])c1c([H])c([H])c([H])c([H])c1[H],,
415,**C(=*)P(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],,
416,*c1c([H])c([H])c2c3c1-*1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c14)*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c1*-2c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c13,,
417,*c1c([H])c([H])c([H])c(-*c(=O)*2c([H])c([H])c([H])c(Cl)c2c([H])c=O)c1C([H])([H])[H],,
418,*C(=O)*c1c([H])c(*)c([H])c([H])c1[H],,
419,*=C(*1*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O1)c1c([H])c([H])c(Cl)c([H])c1[H],,
420,*C(*)([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],,
421,*C1([H])C([H])(c2c([H])c([H])c([H])c([H])c2[H])*C([H])(c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H],,
422,*C1([H])*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],,
423,*=C1**c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c21,,
424,*C1([H])*C(=O)C([H])(C([H])([H])[H])C(=O)*1,,
425,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c3c(c([H])c1C21C2([H])C([H])([H])C4([H])C([H])([H])C([H])(C2([H])[H])C([H])([H])C1([H])C4([H])[H])*c1c([H])c(C([H])([H])[H])c([H])c2c1*3c1c([H])c3c(c([H])c1*2)C1(c2c([H])c([H])c([H])c([H])c2-3)C2([H])C([H])([H])C3([H])C([H])([H])C([H])(C2([H])[H])C([H])([H])C1([H])C3([H])[H],,
426,[H]c1*c(*2**C([H])(c3c([H])c([H])c([H])c([H])c3[H])C2([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1[H],,
427,*c1c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])*c2c([H])c([H])c(Br)c([H])c12,,
428,*c1c([H])c([H])c2c([H])c([H])*c2c1-c1c([H])c([H])c([H])c([H])c1[H],,
429,[H]c1c([H])c([H])c2c(c1[H])*c1c([H])c([H])c([H])c([H])c1C([H])([H])*C2([H])[H],,
430,*c1c([H])*c(SC([H])([H])[H])*c1[H],,
431,[H]c1c(SC([H])([H])[H])c([H])c2c3c1-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,,
432,*c1c(-c2c([H])c([H])c([H])c([H])c2[H])*:*c1-c1c([H])c([H])c([H])c([H])c1[H],,
433,[H]c1c2c3c(c([H])c1S(=O)(=O)C([H])([H])[H])-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,,
434,[H]c1c([H])c2c3c(c1[H])N1c4c([H])c([H])c([H])c([H])c4C(C([H])([H])[H])(C([H])([H])[H])c4c([H])c([H])c([H])c(c41)B3c1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c([H])c1C3(C([H])([H])[H])C([H])([H])[H],,
435,*C1(c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],,
436,[H]c1c([H])c([H])c(-c2c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c(-c3c([H])c4c5c(c3[H])-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c2[H])c([H])c1[H],,
437,[H]c1c([H])c2c3c(c1[H])-*1c4c(c([H])c([H])c([H])c4c4c([H])c5c(*c6c([H])c([H])c([H])c([H])c65)c([H])c14)*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1O2,,
438,[H]c1*c(C2=*O**2)c([H])c([H])c1[H],,
439,[H]c1c([H])c([H])c2c(c1[H])Sc1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c2c1B3c1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c([H])c1S3,,
440,[H]c1c([H])c2c3c(c1[H])*c1c([H])c([H])c([H])c4c1*3c1c(c([H])c([H])c([H])c1*4)*2,,
441,*C1([H])C([H])([H])*C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],,
442,[H]c1c(-c2c([H])c([H])c3c(=O)c4c([H])c([H])c([H])c([H])c4[se]c3c2[H])c([H])c2c3c1-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,,
443,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c([H])c([H])c1N1c3c([H])c([H])c([H])c4c3B(c3c([H])c([H])c([H])c-2c31)c1c([H])c([H])c([H])c2c1N4c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1-2,,
444,[H]c1c([H])c2c(c3c1-c1c([H])c([H])c([H])c4c([H])c([H])c([H])c(c14)*3)*C([H])([H])C([H])([H])C2([H])[H],,
445,*C([H])(*1*c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(c23)*1)C([H])([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],,
446,*c1*:*c([H])c1[H],,
447,*c1c([H])c([H])c([H])c2c([H])c([H])c([H])*c12,,
448,[H]c1c([H])c([H])c(C2=*O**2)c([H])c1[H],,
449,[H]c1c([H])c([H])c2c(c1[H])Oc1c([H])c([H])c([H])c3c1B2c1c([H])c([H])c([H])c2c4c([H])c([H])c([H])c([H])c4n-3c12,,
450,*C([H])(C1([H])*C([H])=C(C(=O)OC([H])([H])[H])C([H])=C1[H])C([H])([H])c1c([H])sc([H])c1[H],,
451,*c1c([H])*:*c1[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,
452,*c1c([H])c([H])c(-c2c([H])c3c4c(c2[H])-*2c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c25)*4c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c2*-3c2c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c24)c([H])c1[H],,
453,*c1c([H])c2c3c(c1[H])*1c4c([H])c([H])c([H])c([H])c4C4(c5c([H])c([H])c([H])c(c51)*3c1c([H])c(C([H])([H])[H])c([H])c([H])c1*2)c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c14,,
454,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c4c5c6c3-n3c7c(c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c7c7c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c73)B6c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c6n-5c23)C4(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],,
455,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c([H])c([H])c1C21c2c([H])c3c4c5c2-n2c6c(c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c62)B5c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c5n-4c12)C31c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c21,,
456,*C1([H])C([H])([H])*C(=*)C([H])([H])C1([H])[H],,
457,[H]c1c([H])c2c3c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])c1c([H])c([H])c([H])c4c1B3c1c(c([H])c([H])c3c5c([H])c([H])c([H])c([H])c5n-2c13)C4(C([H])([H])[H])C([H])([H])[H],,
458,[H]c1c([H])c([H])c(C([H])([H])[H])c(-c2c(Oc3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])c([H])c3c4c2Oc2c([H])c([H])c(C([H])([H])[H])c([H])c2*4c2c([H])c(C([H])([H])[H])c([H])c([H])c2*3)c1[H],,
459,*C(*)([H])C([H])([H])c1c([H])c([H])c(C(F)(F)F)c([H])c1[H],,
460,*C([H])(C([H])([H])[H])C(*S(*)(=O)=O)(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c(C(F)(F)F)c([H])c1[H],,
461,[H]c1sc2c(c1[H])*c1c(sc([H])c1[H])*2,,
462,[H]c1c([H])c([H])c2c([H])c3c(c([H])c2c1[H])*c1c(c([H])c2c([H])c([H])c([H])c([H])c2c1[H])*3,,
463,*c1*c(-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c([H])c1[H],,
464,*c1c([H])c([H])c([H])c(*2OC3([H])C4([H])SC([H])([H])C([H])(C(=O)OC([H])([H])[H])*4C(=O)C([H])(O[H])C3([H])O2)c1[H],,
465,[H]C1=C(Br)*(c2c(C(=O)OC([H])([H])C([H])([H])[H])*c(C([H])([H])[H])c3c2C([H])([H])OC3([H])[H])*c2c([H])c([H])c([H])c([H])c21,,
466,*c1c([H])*c2c([H])c([H])c(F)c([H])c12,,
467,*C1([H])*C([H])([H])C([H])([H])C([H])([H])*1,,
468,*c1c(*)c([H])c(C(F)(F)F)c([H])c1[H],,
469,**1*C([H])=C([H])*C1([H])[H],,
470,*C1([H])C([H])(C(=O)c2c([H])c([H])c([H])c([H])c2[H])*OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,
471,*c1c([H])c2*3c1c([H])c([H])c([H])c3c1c([H])c([H])c([H])c([H])c21,,
472,[H]c1c([H])c([H])c(-c2c([H])c3c4c(c2[H])-n2c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c52)B4c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c5n-3c24)c(F)c1[H],,
473,*C([H])(C([H])([H])[H])C1([H])*S(=O)(=O)Oc2c([H])c([H])c([H])c([H])c21,,
474,**C1([H])*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],,
475,*c1c([H])c(*)c(Br)c([H])c1[H],,
476,*C1(C([H])(O[H])C([H])(C([H])([H])[H])C([H])([H])[H])*C1([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],,
477,*C1([H])C(*)([H])C1(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],,
478,*c1c([H])c([H])c(C(F)(F)F)c([H])c1C(*)([H])[H],,
479,*C([H])(*1*c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(c23)*1)C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,
480,[H]c1c([H])c([H])c(-c2c([H])c([H])c(-c3c([H])c4c5c(c3[H])-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c([H])c2[H])c([H])c1[H],,
481,*C1([H])c2c([H])c([H])c([H])c([H])c2*C1([H])C([H])([H])[H],,
482,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3N3c4c([H])c([H])c([H])c5c4B(c4c([H])c([H])c([H])c6c4N5c4c([H])c([H])c([H])c([H])c4S6)c4c([H])c([H])c([H])c2c43)c([H])c1[H],,
483,[H]c1c([H])c(C23C([H])([H])C4([H])C([H])([H])C([H])(C([H])([H])C([H])(C4([H])[H])C2([H])[H])C3([H])[H])c([H])c([H])c1-c1c([H])c2c3c(c1[H])-n1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-2c13,,
484,*C([H])(C(=O)OC([H])([H])[H])C(*)([H])C([H])([H])[H],,
485,*C(=C([H])[H])C(*)([H])C([H])(O[Si](C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c1c([H])c([H])*c([H])c1[H],,
486,[H]c1c([H])c(C([H])([H])[H])c([H])c2c1*c1c([H])c([H])c(C([H])([H])[H])c([H])c1*2,,
487,*c1c([H])*:*c1-c1c([H])c([H])c([H])c([H])c1[H],,
488,[H]c1sc2c(c1[H])*c1c(sc3c([H])c([H])c([H])c([H])c13)*2,,
489,[H]c1c([H])c([H])c(C2=C(c3c([H])c([H])c([H])c([H])c3[H])*C([H])([H])*2)c([H])c1[H],,
490,[H]C1([H])*C(C2([H])C([H])([H])C2([H])[H])=C(C2([H])C([H])([H])C2([H])[H])*1,,
491,*c1*c(Br)c([H])c([H])c1[H],,
492,*C1(c2c([H])c([H])c([H])c([H])c2[H])*c2c([H])c([H])c([H])c([H])c2C1([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C(C(=O)OC([H])([H])C([H])([H])[H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C(=O)OC([H])([H])C([H])([H])[H],,
493,[H]C([H])=C1**C([H])(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])*1,,
494,*c1c([*+])c([H])c(C(=O)O[H])c([H])c1[H],,
495,*c1c(Cl)*c(Cl)c([H])c1[H],,
496,*C1([H])C(=C([H])C([H])([H])Sc2c([H])c([H])c([H])c([H])c2[H])**C1([H])C([H])([H])Sc1c([H])c([H])c([H])c([H])c1[H],,
