Structure,SMILES,Charge
bronsted_acid_cpa_83,CC1(C)O[C@@H]2[C@H](C(C3=CC=CC=C3)(C4=CC=CC=C4)OP(OC2(C5=CC=CC=C5)C6=CC=CC=C6)(NS(=O)(C(F)(F)F)=O)=O)O1,0
bronsted_acid_cpa_84,O=P1(NP(C2=CC=C(C(F)(F)F)C=C2)(C3=CC=C(C(F)(F)F)C=C3)=O)OC4=CC=C5C(C=CC=C5)=[C@@]4[C@@]6=C(O1)C=CC7=CC=CC=C76,0
bronsted_acid_cpa_85,O=P1(NP(C2=CC=CC=C2)(C3=CC=CC=C3)=O)OC4=CC=C5C(C=CC=C5)=[C@@]4[C@@]6=C(O1)C=CC7=CC=CC=C76,0
bronsted_acid_cpa_86,O=P1(S)OC2=CC=C3C(C=CC=C3)=[C@@]2[C@@]4=C(O1)C=CC5=CC=CC=C54,0
bronsted_acid_cpa_87,O=P1(O)OC2=CC=CC=C2C3=C(O1)C=CC=C3,0
bronsted_acid_cpa_88,O=P1(NS(=O)(C2=CC=CC=C2)=O)OC3=CC=C4C(C=CC=C4)=[C@@]3[C@@]5=C(O1)C=CC6=CC=CC=C65,0
bronsted_acid_cpa_89,O=P1(NC(C(F)(F)F)=O)OC2=CC=C3C(C=CC=C3)=[C@@]2[C@@]4=C(O1)C=CC5=CC=CC=C54,0
bronsted_acid_cpa_8,O=[P@]1(O)OC2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=C4C(CCCC4)=C2C5=C(O1)[C@@]([C@@]6=C(C(C)C)C=C(C(C)C)C=C6C(C)C)=CC7=C5CCCC7,0
bronsted_acid_cpa_90,O=P1(NS(=O)(C)=O)OC2=CC=C3C(C=CC=C3)=[C@@]2[C@@]4=C(O1)C=CC5=CC=CC=C54,0
bronsted_acid_cpa_91,O=P1(NC(C2=CC=CC=C2)=O)OC3=CC=C4C(C=CC=C4)=[C@@]3[C@@]5=C(O1)C=CC6=CC=CC=C65,0
bronsted_acid_cpa_92,O=P1(NC(C)=O)OC2=CC=C3C(C=CC=C3)=[C@@]2[C@@]4=C(O1)C=CC5=CC=CC=C54,0
bronsted_acid_cpa_93,C1CC23CCC4=C2C(=C(C=C4)C5=CC=CC=C5)OP(=O)(OC6=C(C=CC1=C36)C7=CC=CC=C7)NS(=O)(=O)C(F)(F)F,0
bronsted_acid_cpa_94,C1=CC=C(C=C1)C2=C3C4=C(C=C5C=CC6=CC=CC=C6C5=C4OP(=O)(OC3=C7C(=C2)C=CC8=CC=CC=C87)NS(=O)(=O)C(F)(F)F)C9=CC=CC=C9,0
bronsted_acid_cpa_95,O=S(OC1=C(C2(C3=C(OS4(=O)=O)C(C5=CC=CC=C5)=CC=C3CC2)CC6)C6=CC=C1C7=CC=CC=C7)(N4)=O,0
bronsted_acid_cpa_96,O=P1(NS(=O)(C(F)(F)F)=O)OC2=C(C3=CC=CC=C3)C=C4C(OCO4)=[C@@]2[C@@]5=C(O1)C(C6=CC=CC=C6)=CC7=C5OCO7,0
bronsted_acid_cpa_97,C1=CC=C(C=C1)C2=C3C4=C(C=C5C=CC6=CC=CC=C6C5=C4S(=O)(=O)NS(=O)(=O)C3=C7C(=C2)C=CC8=CC=CC=C87)C9=CC=CC=C9,0
bronsted_acid_cpa_98,O=S(C1=C(C(CC2)=CC=C1C3=CC=CC=C3)C42C5=C6C(C7=CC=CC=C7)=CC=C5CC4)(NS(=O)6=O)=O,0
bronsted_acid_cpa_99,O=P1(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)OC3=C(C4=CC=CC=C4)C=C5C(C=CC=C5)=C3C6=C(O1)C(C7=CC=CC=C7)=CC8=CC=CC=C86,0
bronsted_acid_cpa_9,O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC=C3)C=C5C(CCCC5)=C2C6=C(O1)C(C7=CC=CC8=C7C=CC=C8)=CC9=C6CCCC9,0
bronsted_acid_diol_100,O=C(C(C(C1=CC=CC=C1)=C2)=[C@@]([C@@]3=C(CCCC4)C4=CC(C5=CC=CC=C5)=C3C(NS(=O)(C(F)(F)F)=O)=O)C6=C2CCCC6)NS(=O)(C(F)(F)F)=O,0
bronsted_acid_diol_101,O=C(C1=C(C2=CC=CC=C2)C=C3C(C=CC=C3)=C1C4=C(C(O)=O)C(C5=CC=CC=C5)=CC6=CC=CC=C64)O,0
bronsted_acid_diol_102,O=C(C1=C(C2=CC=CC=C2)C=C3C(CCCC3)=C1C4=C(C(O)=O)C(C5=CC=CC=C5)=CC6=C4CCCC6)O,0
bronsted_acid_diol_103,O=C(C1=C(C(CC2)=CC=C1C3=CC=CC=C3)[C@@]42C5=C(C(NS(=O)(C(F)(F)F)=O)=O)C(C6=CC=CC=C6)=CC=C5CC4)NS(=O)(C(F)(F)F)=O,0
bronsted_acid_diol_104,O=C(C1=C(C(CC2)=CC=C1C3=CC=CC=C3)[C@@]42C5=C(C(O)=O)C(C6=CC=CC=C6)=CC=C5CC4)O,0
bronsted_acid_diol_105,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@@H]3OC(C)(C)O[C@@H]3C(C4=CC=CC=C4)(C5=CC=CC=C5)OC(C(F)(F)F)=O,0
bronsted_acid_diol_106,OC(C1=CC=CC(C)=C1)(C2=CC=CC(C)=C2)[C@@H]3OC(C)(C)O[C@H]3C(C4=CC=CC(C)=C4)(C5=CC=CC(C)=C5)O,0
